name,stage,stage_label,description,url,repo,access,tags,url_status
DataWarrior,cheminformatics,Cheminformatics toolkits,"Free desktop app for chemical data visualisation, SAR analysis, clustering and property prediction.",https://openmolecules.org/datawarrior/,,free-web,visualisation; sar,200
CReM,cheminformatics,Cheminformatics toolkits,Chemically reasonable mutations: fragment-based structure generation with medicinal-chemistry-valid replacements.,https://github.com/DrrDom/crem,drrdom/crem,open-source,enumeration; fragments,200
molSimplify,cheminformatics,Cheminformatics toolkits,"Builds, optimises and screens transition-metal complexes from a metal, oxidation state and ligand set; generates sane 3D geometries where general-purpose toolkits guess badly.",https://github.com/hjkgrp/molSimplify,hjkgrp/molsimplify,open-source,metals; organometallic; structure-generation,200
Architector,cheminformatics,Cheminformatics toolkits,"Generates 3D conformers for metal complexes across the periodic table, including multiple spin states and coordination geometries, as a Python API.",https://github.com/lanl/Architector,lanl/architector,open-source,metals; organometallic; conformers,200
Cambridge Structural Database (CCDC),cheminformatics,Cheminformatics toolkits,"The small-molecule crystal structure archive, over half of it metal-organic. The empirical reference for coordination geometry, bond lengths and ligand conformation.",https://www.ccdc.cam.ac.uk/solutions/software/csd/,,commercial,metals; crystal-structures; reference,200
ChEMBL,libraries,Compound & bioactivity databases,"Manually curated bioactivity database (~2.4M compounds, 20M+ activities) mapped to targets and assays.",https://www.ebi.ac.uk/chembl/,,free-web,bioactivity; database,200
PubChem,libraries,Compound & bioactivity databases,"The largest open chemical database: compounds, substances, bioassays, patents and literature links.",https://pubchem.ncbi.nlm.nih.gov,,free-web,database,200
ZINC22,libraries,Compound & bioactivity databases,"Purchasable and make-on-demand compounds prepared for docking in 3D, at tens of billions of molecules.",https://cartblanche22.docking.org,,free-web,screening-library; docking,200
Enamine REAL Space,libraries,Compound & bioactivity databases,Make-on-demand combinatorial space of 6B+ synthesisable compounds with ~80% synthesis success.,https://enamine.net/compound-collections/real-compounds/real-space-navigator,,commercial,screening-library; make-on-demand,200
DrugBank,libraries,Compound & bioactivity databases,"Approved and investigational drugs with targets, pharmacology, interactions and ADMET; free academic tier.",https://go.drugbank.com,,academic,drugs; database,200
BindingDB,libraries,Compound & bioactivity databases,"Measured binding affinities (Kd/Ki/IC50) for protein-small molecule pairs, curated from literature and patents.",https://www.bindingdb.org/rwd/bind/index.jsp,,free-web,affinity; database,200
PDBbind+,libraries,Compound & bioactivity databases,Experimental binding affinities paired with their PDB complex structures; the basis of the CASF scoring benchmarks (the old pdbbind.org.cn is retired).,https://www.pdbbind-plus.org.cn,,academic,affinity; structures,200
Papyrus,libraries,Compound & bioactivity databases,"A normalised, standardised bioactivity dataset (60M+ points) assembled for ML-ready QSAR modelling — the cleaned-up ChEMBL you were going to build yourself.",https://github.com/OlivierBeq/Papyrus-scripts,olivierbeq/papyrus-scripts,open-source,bioactivity; ml-ready,200
SureChEMBL,libraries,Compound & bioactivity databases,"Chemical structures extracted from patents, updated daily; the standard patent-chemistry search.",https://www.surechembl.org,,free-web,patents,200
COCONUT,libraries,Compound & bioactivity databases,Aggregated open natural products collection with structures and source organisms.,https://coconut.naturalproducts.net,,free-web,natural-products,200
GtoPdb (Guide to Pharmacology),libraries,Compound & bioactivity databases,"Expert-curated ligand-target pharmacology: selectivity, affinities and recommended tool compounds.",https://www.guidetopharmacology.org,,free-web,pharmacology; tool-compounds,200
Chemical Probes Portal,libraries,Compound & bioactivity databases,"Expert review of which chemical probes are actually fit for target validation, and at what concentration.",https://www.chemicalprobes.org,,free-web,tool-compounds; target-validation,200
smina,docking,Docking & virtual screening,Vina fork with flexible scoring-function specification and much easier custom-term development.,https://github.com/mwojcikowski/smina,mwojcikowski/smina,open-source,docking,200
Vina-GPU 2.1,docking,Docking & virtual screening,"GPU-parallel Vina, and the QuickVina2-GPU variant alongside it, giving one to two orders of magnitude speedup on large screens.",https://github.com/DeltaGroupNJUPT/Vina-GPU-2.1,deltagroupnjupt/vina-gpu-2.1,open-source,docking; gpu,200
Uni-Dock,docking,Docking & virtual screening,GPU-accelerated docking engine reaching thousands of molecules per second per GPU.,https://github.com/dptech-corp/Uni-Dock,dptech-corp/uni-dock,open-source,docking; gpu,200
DOCK 6,docking,Docking & virtual screening,UCSF's long-standing anchor-and-grow docking program with a wide scoring-function suite.,https://dock.compbio.ucsf.edu,,academic,docking,200
rDock,docking,Docking & virtual screening,"Fast open-source docking for proteins and nucleic acids, with pharmacophore and tethered-scaffold restraints.",https://rdock.github.io,cbdd/rdock,open-source,docking; rna,200
Meeko,docking,Docking & virtual screening,"Prepares ligands and receptors for AutoDock: PDBQT writing, macrocycle handling, covalent setups.",https://github.com/forlilab/Meeko,forlilab/meeko,open-source,preparation; docking,200
Ringtail,docking,Docking & virtual screening,Stores and filters millions of docking results in SQLite so large screens stay queryable.,https://github.com/forlilab/Ringtail,forlilab/ringtail,open-source,virtual-screening; data-management,200
VirtualFlow,docking,Docking & virtual screening,Open workflow for distributing ultra-large virtual screens (billions of ligands) across HPC and cloud.,https://virtual-flow.org,virtualflow/vfvs,open-source,virtual-screening; hpc,200
EasyDock,docking,Docking & virtual screening,Python wrapper unifying Vina/smina/gnina runs with SQLite bookkeeping and protonation handling.,https://github.com/ci-lab-cz/easydock,ci-lab-cz/easydock,open-source,docking; workflow,200
DockStream,docking,Docking & virtual screening,AstraZeneca's docking wrapper exposing several backends to generative loops such as REINVENT.,https://github.com/MolecularAI/DockStream,molecularai/dockstream,open-source,docking; generative-loop,200
ODDT,docking,Docking & virtual screening,"Open Drug Discovery Toolkit: rescoring functions (RFScore, NNScore), interaction fingerprints and VS metrics.",https://github.com/oddt/oddt,oddt/oddt,open-source,rescoring; virtual-screening,200
PLIP,docking,Docking & virtual screening,Detects and reports non-covalent protein-ligand interactions from a complex; standard for pose interpretation.,https://github.com/pharmai/plip,pharmai/plip,open-source,interactions; analysis,200
LigPlot+,docking,Docking & virtual screening,2D schematic diagrams of protein-ligand interactions for figures and pose triage.,https://www.ebi.ac.uk/thornton-srv/software/LigPlus/,,academic,interactions; visualisation,200
Glide (Schrödinger),docking,Docking & virtual screening,Industry-standard commercial docking (HTVS/SP/XP) with the Maestro preparation stack.,https://www.schrodinger.com/platform/products/glide/,,commercial,docking,200
GOLD (CCDC),docking,Docking & virtual screening,Genetic-algorithm docking with CSD-derived knowledge and well-validated scoring functions.,https://www.ccdc.cam.ac.uk/solutions/software/gold/,,commercial,docking,200
MOE (CCG),docking,Docking & virtual screening,"Integrated commercial modelling environment: docking, pharmacophores, biologics and QSAR in one platform.",https://www.chemcomp.com/en/Products.htm,,commercial,platform,200
SwissDock,docking,Docking & virtual screening,Free docking web service (AutoDock Vina and Attracting Cavities backends) for occasional runs.,https://www.swissdock.ch,,free-web,docking; web,200
Pharmit,docking,Docking & virtual screening,"Interactive pharmacophore and shape search over billions of purchasable compounds, with in-browser minimisation.",https://pharmit.csb.pitt.edu,dkoes/pharmit,open-source,pharmacophore; virtual-screening,200
MetalDock,docking,Docking & virtual screening,"Docks organometallic and metal-complex ligands into proteins, DNA and other biomolecules, optimising the complex with QM and generating the metal parameters the docking needs.",https://github.com/MatthijsHak/MetalDock,matthijshak/metaldock,open-source,metals; docking; organometallic,200
AutoDock4Zn,docking,Docking & virtual screening,"Zinc force field for AutoDock4 adding directional pseudo-atoms around the ion, so tetrahedral coordination is rewarded geometrically rather than as undirected electrostatics.",https://autodock.scripps.edu/resources/autodock-zn/,,open-source,metals; zinc; docking; scoring,200
gnina,docking,Docking & virtual screening,"Fork of smina with convolutional neural network scoring and rescoring, run alongside the empirical score rather than instead of it.",https://github.com/gnina/gnina,gnina/gnina,open-source,docking; cnn-scoring,200
GaudiMM,docking,Docking & virtual screening,"Multi-objective genetic algorithm that optimises binding, geometry and any other objective you define at once, instead of collapsing them into one score. Handles metal coordination and flexible systems that fixed-receptor docking cannot express.",https://gaudi.readthedocs.io,insilichem/gaudi,open-source,metals; optimisation; molecular-design,200
GROMACS,md,Molecular dynamics & free energy,"The most widely used open MD engine; fast on CPU and GPU, with a complete analysis toolchain.",https://www.gromacs.org,,open-source,md-engine,200
AMBER / AmberTools,md,Molecular dynamics & free energy,"Amber force fields and simulation stack; AmberTools is free, pmemd.CUDA is licensed.",https://ambermd.org,,academic,md-engine; force-field,200
NAMD,md,Molecular dynamics & free energy,"Scalable MD for very large systems on HPC, paired with VMD for setup and analysis.",https://www.ks.uiuc.edu/Research/namd/,,academic,md-engine; hpc,200
CHARMM-GUI,md,Molecular dynamics & free energy,"Web system builder that sets up membranes, glycans, ligands and solvated systems for every major MD engine.",https://www.charmm-gui.org,,free-web,system-preparation; membrane,200
MDAnalysis,md,Molecular dynamics & free energy,Python library for reading and analysing trajectories from essentially every MD format.,https://www.mdanalysis.org,mdanalysis/mdanalysis,open-source,analysis; trajectories,200
MDTraj,md,Molecular dynamics & free energy,Fast trajectory IO and geometric analysis with a lightweight NumPy-native API.,https://www.mdtraj.org,mdtraj/mdtraj,open-source,analysis; trajectories,200
PLUMED,md,Molecular dynamics & free energy,"Plugin for enhanced sampling and free-energy methods (metadynamics, umbrella sampling) across MD engines.",https://www.plumed.org,plumed/plumed2,open-source,enhanced-sampling; free-energy,200
OpenFF Toolkit,md,Molecular dynamics & free energy,Open Force Field small-molecule parameterisation with direct OpenMM/GROMACS export.,https://github.com/openforcefield/openff-toolkit,openforcefield/openff-toolkit,open-source,force-field; parameterisation,200
ACPYPE,md,Molecular dynamics & free energy,"Converts Antechamber/GAFF ligand parameters into GROMACS, CHARMM and other topologies.",https://github.com/alanwilter/acpype,alanwilter/acpype,open-source,parameterisation,200
ParmEd,md,Molecular dynamics & free energy,"Reads, edits and converts parameter/topology files between AMBER, CHARMM, GROMACS and OpenMM.",https://github.com/ParmEd/ParmEd,parmed/parmed,open-source,topology; conversion,200
gmx_MMPBSA,md,Molecular dynamics & free energy,"MM-PBSA/MM-GBSA end-state binding free energies from GROMACS trajectories, with per-residue decomposition.",https://github.com/Valdes-Tresanco-MS/gmx_MMPBSA,valdes-tresanco-ms/gmx_mmpbsa,open-source,free-energy; mmpbsa,200
OpenFE,md,Molecular dynamics & free energy,Open Free Energy: production relative and absolute binding free-energy campaigns with reproducible protocols.,https://github.com/OpenFreeEnergy/openfe,openfreeenergy/openfe,open-source,free-energy; fep,200
BioSimSpace,md,Molecular dynamics & free energy,Interoperable layer for building and running MD and alchemical free-energy workflows across engines.,https://github.com/OpenBioSim/biosimspace,openbiosim/biosimspace,open-source,free-energy; workflow,200
alchemlyb,md,Molecular dynamics & free energy,"Standard estimators (MBAR, BAR, TI) and convergence diagnostics for alchemical free-energy data.",https://github.com/alchemistry/alchemlyb,alchemistry/alchemlyb,open-source,free-energy; analysis,200
FEP+ (Schrödinger),md,Molecular dynamics & free energy,"Commercial relative binding free-energy platform, the industry reference for lead-optimisation potency prediction.",https://www.schrodinger.com/platform/products/fep/,,commercial,free-energy; fep,200
MACE / MACE-OFF,md,Molecular dynamics & free energy,"Equivariant machine-learned interatomic potentials, including transferable organic force fields for biomolecular systems.",https://github.com/ACEsuit/mace,acesuit/mace,open-source,mlip; force-field,200
TorchANI,md,Molecular dynamics & free energy,PyTorch implementation of the ANI neural network potentials for organic molecules.,https://github.com/aiqm/torchani,aiqm/torchani,open-source,mlip,200
Espaloma,md,Molecular dynamics & free energy,"Graph-neural-network force-field parameter assignment, replacing atom typing with learned chemistry.",https://github.com/choderalab/espaloma,choderalab/espaloma,open-source,force-field; ml,200
OpenMM-ML,md,Molecular dynamics & free energy,Mixed ML/MM simulation in OpenMM: treat the ligand with a neural potential and the rest classically.,https://github.com/openmm/openmm-ml,openmm/openmm-ml,open-source,mlip; qm-mm,200
Martini,md,Molecular dynamics & free energy,"Coarse-grained force field for large-scale membrane, protein and lipid-nanoparticle simulation.",https://cgmartini.nl,,open-source,coarse-grained; membrane,200
GaMD,md,Molecular dynamics & free energy,"Gaussian accelerated MD: adds a harmonic boost potential to flatten energy barriers, reaching microsecond-scale conformational transitions without a predefined reaction coordinate. Implemented in AMBER, NAMD and OpenMM.",http://miaolab.org/GaMD/,,academic,enhanced-sampling; accelerated-md; conformational-sampling,200
gamd-openmm,md,Molecular dynamics & free energy,The OpenMM implementation of GaMD — the easiest route to accelerated sampling on a GPU without leaving Python.,https://github.com/MiaoLab20/gamd-openmm,miaolab20/gamd-openmm,open-source,enhanced-sampling; accelerated-md; openmm,200
WESTPA,md,Molecular dynamics & free energy,"Weighted ensemble sampling: runs many short trajectories with statistical reweighting to reach rare events and extract rate constants, rather than waiting for one long trajectory to cross the barrier.",https://github.com/westpa/westpa,westpa/westpa,open-source,enhanced-sampling; rare-events; kinetics,200
SuMD,md,Molecular dynamics & free energy,"Supervised MD: biases nothing but discards trajectories heading the wrong way, so ligand binding and unbinding pathways emerge in accessible wall-clock time.",https://github.com/molecularmodelingsection/SuMD,molecularmodelingsection/sumd,open-source,enhanced-sampling; binding-pathway,200
OpenPathSampling,md,Molecular dynamics & free energy,"Transition path sampling and interface sampling for rare events where you care about the mechanism and rate, not just the endpoints.",https://github.com/openpathsampling/openpathsampling,openpathsampling/openpathsampling,open-source,enhanced-sampling; rare-events; mechanism,200
openmmtools,md,Molecular dynamics & free energy,"Replica exchange, alchemical factories and well-tested integrators for OpenMM — the standard way to run REST2/parallel tempering in Python.",https://github.com/choderalab/openmmtools,choderalab/openmmtools,open-source,enhanced-sampling; replica-exchange; openmm,200
mdpocket,binding-site,Binding site detection,The fpocket companion that tracks pocket volume and persistence across an MD trajectory — how you find a cryptic pocket that only opens some of the time.,https://github.com/Discngine/fpocket,discngine/fpocket,open-source,cryptic-pocket; pocket-dynamics; md-analysis,200
PocketMiner,binding-site,Binding site detection,"Predicts where cryptic pockets are likely to open from a single structure, so you know whether long sampling is worth running at all.",https://pocketminer.azurewebsites.net,mickdub/gvp,open-source,cryptic-pocket; machine-learning,200
deeptime,md,Molecular dynamics & free energy,"Markov state models, TICA/VAMP and kinetic analysis of long or many-replica trajectories.",https://github.com/deeptime-ml/deeptime,deeptime-ml/deeptime,open-source,msm; kinetics,200
MCPB.py,md,Molecular dynamics & free energy,"AmberTools' metal centre parameter builder: derives bonded-model force field parameters for a metal site from QM, the standard route to simulating a metalloprotein without the ion drifting out.",https://ambermd.org/tutorials/advanced/tutorial20/,,academic,metals; force-field; parameterisation,200
easyPARM,md,Molecular dynamics & free energy,"Automates force field parameter derivation for metal complexes and organometallics from a QM optimisation, producing ready-to-run Amber, GROMACS, CHARMM and OpenMM inputs.",https://github.com/Abdelazim-Abdelgawwad/easyPARM,abdelazim-abdelgawwad/easyparm,open-source,metals; force-field; parameterisation,200
GPathFinder,md,Molecular dynamics & free energy,"Finds the route a ligand takes in and out of a buried site by multi-objective search over GaudiMM, giving binding pathways and intermediate poses rather than only the bound state.",https://gpathfinder.readthedocs.io/en/latest/,insilichem/gpathfinder,open-source,binding-pathway; optimisation,200
OMMProtocol,md,Molecular dynamics & free energy,"Runs a complete OpenMM pipeline, from minimisation through equilibration to production, from one YAML file, with checkpointing and standard reporters.",https://ommprotocol.readthedocs.io,insilichem/ommprotocol,open-source,md-engine; workflow,200
Psi4,qm,Quantum chemistry,"Open-source quantum chemistry (DFT, MP2, CC) with a Python API suited to automated workflows.",https://psicode.org,psi4/psi4,open-source,dft; ab-initio,200
PySCF,qm,Quantum chemistry,"Python-native electronic structure library, easy to embed in ML and screening pipelines.",https://pyscf.org,pyscf/pyscf,open-source,dft; python,error: URLError
ORCA,qm,Quantum chemistry,"Broad-capability QM package, free for academic use; common for spectroscopy and mechanism work.",https://orcaforum.kofo.mpg.de,,academic,dft; ab-initio,200
xtb,qm,Quantum chemistry,"Semiempirical GFNn-xTB methods: geometry, frequencies and energies fast enough for thousands of molecules.",https://github.com/grimme-lab/xtb,grimme-lab/xtb,open-source,semiempirical; conformers,200
CREST,qm,Quantum chemistry,Conformer-rotamer ensemble sampling on top of xtb; the standard cheap conformational search.,https://github.com/crest-lab/crest,crest-lab/crest,open-source,conformers,200
NWChem,qm,Quantum chemistry,Scalable HPC quantum chemistry for large systems and plane-wave/molecular hybrids.,https://github.com/nwchemgit/nwchem,nwchemgit/nwchem,open-source,hpc; ab-initio,200
autodE,qm,Quantum chemistry,"Automated reaction-profile generation: conformers, transition states and barriers with minimal manual setup.",https://github.com/duartegroup/autodE,duartegroup/autode,open-source,reaction-mechanism; transition-state,200
Garleek,qm,Quantum chemistry,"Bridges Gaussian's ONIOM to molecular mechanics backends such as Tinker and OpenMM, so a QM/MM job can put a metal centre in the QM layer and the rest of the protein in MM.",https://garleek.readthedocs.io,insilichem/garleek,open-source,metals; qm-mm; oniom,200
ESIgen,qm,Quantum chemistry,"Turns raw quantum chemistry output into a formatted supporting information document: geometries, energies, frequencies and images, from a template.",https://github.com/insilichem/esigen,insilichem/esigen,open-source,reporting; supporting-information,200
pysisyphus,qm,Quantum chemistry,"Optimises stationary points on reaction paths: chain-of-states methods, transition state searches and intrinsic reaction coordinates, driving whichever QM engine you have.",https://github.com/eljost/pysisyphus,eljost/pysisyphus,open-source,reaction-path; transition-state,200
Multiwfn,qm,Quantum chemistry,"Wavefunction analysis: bond orders, charges, orbital composition, electron density topology and non-covalent interaction plots from the output of most QM programs.",http://sobereva.com/multiwfn/,,academic,wavefunction-analysis; bonding,200
MOSES,generative,Generative design,Benchmarking platform for molecular generative models with standard splits and distribution metrics.,https://github.com/molecularsets/moses,molecularsets/moses,open-source,benchmark; generative,200
GuacaMol,generative,Generative design,"Goal-directed and distribution-learning benchmarks for de novo design, still the common comparison point.",https://github.com/BenevolentAI/guacamol,benevolentai/guacamol,open-source,benchmark; generative,200
SAFE,generative,Generative design,Sequential attachment-based fragment embedding: a SMILES rewrite that makes scaffold-constrained generation natural.,https://github.com/datamol-io/safe,datamol-io/safe,open-source,representation; generative,200
Pocket2Mol,generative,Generative design,Equivariant generation of 3D molecules conditioned directly on a binding pocket.,https://github.com/pengxingang/Pocket2Mol,pengxingang/pocket2mol,open-source,sbdd; 3d-generation,200
DiffLinker,generative,Generative design,Equivariant diffusion for linker design in fragment linking and PROTAC-style problems.,https://github.com/igashov/DiffLinker,igashov/difflinker,open-source,linker-design; fragments,200
LigandMPNN,generative,Generative design,"Sequence design conditioned on ligands, nucleotides and cofactors; the successor to ProteinMPNN for binding sites.",https://github.com/dauparas/LigandMPNN,dauparas/ligandmpnn,open-source,protein-design; sequence-design,200
scikit-mol,qsar-ml,QSAR / property-prediction ML,"RDKit featurisation wrapped as scikit-learn transformers, so fingerprints and descriptors live inside a Pipeline and cannot leak across a split.",https://github.com/EBjerrum/scikit-mol,ebjerrum/scikit-mol,open-source,featurisation; sklearn,200
DeepChem,qsar-ml,QSAR / property-prediction ML,"Long-running deep learning library for chemistry and biology: featurisers, splitters, model zoo and the MoleculeNet task collection.",https://github.com/deepchem/deepchem,deepchem/deepchem,open-source,deep-learning; library,200
QSARtuna,qsar-ml,QSAR / property-prediction ML,"AstraZeneca's automated QSAR model building: preprocessing, algorithm and hyperparameter search, uncertainty.",https://github.com/MolecularAI/QSARtuna,molecularai/qsartuna,open-source,qsar; automl,200
Uni-Mol,qsar-ml,QSAR / property-prediction ML,3D-aware molecular representation model used as a pretrained backbone for property and binding tasks.,https://github.com/deepmodeling/Uni-Mol,deepmodeling/uni-mol,open-source,pretrained; 3d,200
MolSkill,qsar-ml,QSAR / property-prediction ML,Learns medicinal chemists' implicit preferences from pairwise choices to score compound attractiveness.,https://github.com/microsoft/molskill,microsoft/molskill,open-source,scoring; med-chem,200
PyTorch Geometric,qsar-ml,QSAR / property-prediction ML,"The standard GNN library for molecular graphs: message passing, pooling, batching over molecules.",https://github.com/pyg-team/pytorch_geometric,pyg-team/pytorch_geometric,open-source,gnn; library,200
DGL-LifeSci,qsar-ml,QSAR / property-prediction ML,"Ready-made GNN models and datasets for property prediction, reaction prediction and generation.",https://github.com/awslabs/dgl-lifesci,awslabs/dgl-lifesci,open-source,gnn; models,200
Optuna,qsar-ml,QSAR / property-prediction ML,Hyperparameter optimisation with pruning; the usual companion to model selection in QSAR pipelines.,https://github.com/optuna/optuna,optuna/optuna,open-source,hpo,200
scikit-learn,qsar-ml,QSAR / property-prediction ML,"The classical ML baseline stack (RF, SVM, calibration, CV) that every QSAR study is measured against.",https://scikit-learn.org,scikit-learn/scikit-learn,open-source,ml; baseline,200
XGBoost,qsar-ml,QSAR / property-prediction ML,Gradient boosting that remains highly competitive on descriptor/fingerprint tabular chemistry data.,https://github.com/dmlc/xgboost,dmlc/xgboost,open-source,ml; boosting,200
KNIME,qsar-ml,QSAR / property-prediction ML,"Visual workflow platform with mature chemistry nodes (RDKit, Schrödinger, Vernalis) for no-code pipelines.",https://www.knime.com,,open-source,workflow; no-code,200
CheMeleon,qsar-ml,QSAR / property-prediction ML,"Foundation model pretrained to reproduce Mordred descriptors, then fine-tuned through Chemprop with --from-foundation CheMeleon; beats descriptor and GNN baselines on small property datasets.",https://github.com/JacksonBurns/chemeleon,jacksonburns/chemeleon,open-source,pretrained; property-prediction; chemprop,200
Mol-JEPA,qsar-ml,QSAR / property-prediction ML,"Boehringer Ingelheim's multimodal joint-embedding model, fusing cellular effects, binding affinity, ADMET and quantum chemistry into one molecular representation. Code is unlicensed; the weights are CC BY-NC 4.0.",https://github.com/Boehringer-Ingelheim/mol-jepa,boehringer-ingelheim/mol-jepa,academic,pretrained; multimodal; embeddings,200
ADMETlab 3.0,admet,"ADMET, PK & toxicity",Web predictor covering 88 ADMET endpoints with uncertainty estimates and batch submission.,https://admetlab3.scbdd.com,,free-web,admet; web,200
SwissADME,admet,"ADMET, PK & toxicity","Fast physicochemical, pharmacokinetic and drug-likeness profiling including the BOILED-Egg permeability model.",http://www.swissadme.ch,,free-web,admet; drug-likeness,200
pkCSM,admet,"ADMET, PK & toxicity","Graph-signature-based ADMET prediction across absorption, distribution, metabolism, excretion and toxicity endpoints.",https://biosig.lab.uq.edu.au/pkcsm/,,free-web,admet,200
ProTox 3.0,admet,"ADMET, PK & toxicity","Toxicity endpoint prediction (organ toxicity, endpoints, pathways, LD50) with similarity and fragment evidence.",https://tox.charite.de/protox3/,,free-web,toxicity,200
vNN-ADMET,admet,"ADMET, PK & toxicity","Variable-nearest-neighbour ADMET models with explicit applicability domain, including DILI and CYP endpoints.",https://vnnadmet.bhsai.org,,free-web,admet; applicability-domain,200
OPERA,admet,"ADMET, PK & toxicity","Free, regulatory-grade QSAR models for physchem and ADMET endpoints with applicability domain and AD-based confidence; used by EPA/NIH.",https://github.com/kmansouri/OPERA,kmansouri/opera,open-source,admet; regulatory; qsar,200
Open Systems Pharmacology (PK-Sim/MoBi),admet,"ADMET, PK & toxicity",Open-source PBPK and QSP modelling suite; the free alternative to commercial PBPK platforms.,https://github.com/Open-Systems-Pharmacology/Suite,open-systems-pharmacology/suite,open-source,pbpk; qsp,200
Simcyp (Certara),admet,"ADMET, PK & toxicity",Commercial PBPK simulator used in regulatory submissions for DDI and special-population predictions.,https://www.certara.com/software/simcyp-pbpk/,,commercial,pbpk; regulatory,200
GastroPlus,admet,"ADMET, PK & toxicity","Commercial PBPK/absorption simulation, standard for formulation and oral bioavailability modelling.",https://www.simulations-plus.com/software/gastroplus/,,commercial,pbpk; absorption,200
ASKCOS,synthesis,Retrosynthesis & synthetic accessibility,"MIT's open retrosynthesis, forward prediction and condition recommendation platform.",https://askcos.mit.edu,askcos/askcos-core,open-source,retrosynthesis; planning,200
Syntheseus,synthesis,Retrosynthesis & synthetic accessibility,"Benchmarking and inference framework that puts retrosynthesis models on a common, fairly evaluated footing.",https://github.com/microsoft/syntheseus,microsoft/syntheseus,open-source,retrosynthesis; benchmark,200
IBM RXN for Chemistry,synthesis,Retrosynthesis & synthetic accessibility,"Transformer-based forward prediction, retrosynthesis and procedure generation as a free web service.",https://rxn.res.ibm.com,,free-web,retrosynthesis; web,200
rdchiral,synthesis,Retrosynthesis & synthetic accessibility,Correct chirality handling when applying retrosynthetic reaction templates in RDKit.,https://github.com/connorcoley/rdchiral,connorcoley/rdchiral,open-source,templates; chirality,200
SCScore,synthesis,Retrosynthesis & synthetic accessibility,"Synthetic complexity score learned from reaction corpora, complementing the classic SA score.",https://github.com/connorcoley/scscore,connorcoley/scscore,open-source,synthetic-accessibility,200
RAscore,synthesis,Retrosynthesis & synthetic accessibility,"Predicts whether a retrosynthesis planner would find a route, as a fast synthesisability filter.",https://github.com/reymond-group/RAscore,reymond-group/rascore,open-source,synthetic-accessibility,200
PyRosetta,biologics,Antibodies & protein engineering,"Python interface to Rosetta for design, docking, loop modelling and energy calculations; free academic licence.",https://www.pyrosetta.org,,academic,protein-design; rosetta,200
RosettaCommons,biologics,Antibodies & protein engineering,"The Rosetta software suite for macromolecular modelling and design, and its licensing/community hub.",https://rosettacommons.org,,academic,protein-design,200
ANARCI,biologics,Antibodies & protein engineering,"Antibody numbering and germline assignment (IMGT, Kabat, Chothia); the preprocessing step for antibody ML.",https://github.com/oxpig/ANARCI,oxpig/anarci,open-source,antibody; numbering,200
ImmuneBuilder,biologics,Antibodies & protein engineering,"Fast antibody, nanobody and TCR structure prediction with accuracy competitive on CDR loops.",https://github.com/oxpig/ImmuneBuilder,oxpig/immunebuilder,open-source,antibody; structure-prediction,200
AbLang2,biologics,Antibodies & protein engineering,Antibody language model for restoring missing residues and generating germline-plausible sequences.,https://github.com/oxpig/AbLang2,oxpig/ablang2,open-source,antibody; language-model,200
SAbDab / SAbPred,biologics,Antibodies & protein engineering,"Curated structural antibody database plus the OPIG prediction suite (paratope, epitope, developability, TAP).",https://opig.stats.ox.ac.uk/webapps/sabdab-sabpred/sabdab/,,free-web,antibody; database,200
Observed Antibody Space (OAS),biologics,Antibodies & protein engineering,"Billions of cleaned, numbered antibody repertoire sequences; the pretraining corpus for antibody models.",https://opig.stats.ox.ac.uk/webapps/oas/,,free-web,antibody; repertoire,200
IgBLAST,biologics,Antibodies & protein engineering,NCBI's immunoglobulin/TCR V(D)J assignment tool for repertoire sequencing.,https://ncbi.github.io/igblast/,,open-source,antibody; repertoire,200
FoldX,biologics,Antibodies & protein engineering,Empirical force field for fast stability and binding ddG on point mutations; free academic licence.,https://foldxsuite.crg.eu,,academic,stability; mutation,200
ESM,biologics,Antibodies & protein engineering,"Evolutionary-scale protein language models, used for embeddings, variant effect scores and as the front end of structure prediction without an MSA.",https://github.com/facebookresearch/esm,facebookresearch/esm,open-source,protein-language-model; variant-effect,200
ThermoMPNN,biologics,Antibodies & protein engineering,"Graph network predicting the change in folding stability for every point mutation in a structure, fast enough to scan a whole protein.",https://github.com/Kuhlman-Lab/ThermoMPNN,kuhlman-lab/thermompnn,open-source,stability; ddg; protein-engineering,200
Therapeutics Data Commons,benchmarks,Benchmarks & reference datasets,"66+ AI-ready therapeutic datasets with fixed splits and leaderboards, spanning ADMET to biologics.",https://tdcommons.ai,mims-harvard/tdc,open-source,benchmark; datasets,200
MoleculeNet,benchmarks,Benchmarks & reference datasets,"The original standard property-prediction benchmark suite (ESOL, FreeSolv, BACE, Tox21, …).",https://moleculenet.org,,open-source,benchmark,200
DUD-E,benchmarks,Benchmarks & reference datasets,"Directory of useful decoys, enhanced: actives with property-matched decoys for virtual-screening evaluation.",https://dude.docking.org,,free-web,benchmark; virtual-screening,200
LIT-PCBA,benchmarks,Benchmarks & reference datasets,"Unbiased virtual screening benchmark built from dose-response PubChem assays, designed to avoid DUD-E's biases.",https://drugdesign.unistra.fr/LIT-PCBA/,,free-web,benchmark; virtual-screening,200
PoseCheck,benchmarks,Benchmarks & reference datasets,"Physical-plausibility checks (strain energy, steric clashes, interactions) for structure-based generative models.",https://github.com/cch1999/posecheck,cch1999/posecheck,open-source,benchmark; sbdd,200
