full_name,owner,name,url,description,homepage,language,topics,stars,forks,license,archived,created_at,pushed_at,matched_topics
lsj2408/Transformer-M,lsj2408,Transformer-M,https://github.com/lsj2408/Transformer-M,[ICLR 2023] One Transformer Can Understand Both 2D & 3D Molecular Data (official implementation),https://arxiv.org/abs/2210.01765,Python,general-purpose-molecular-model; graph-neural-network; graph-transformer; molecular-modeling; molecule; transformer,219,26,MIT,False,2022-10-04,2023-03-31,molecular-modeling
westpa/westpa,westpa,westpa,https://github.com/westpa/westpa,WESTPA: The Weighted Ensemble Simulation Toolkit with Parallelization and Analysis,https://westpa.github.io/westpa,Python,computational-chemistry; molecular-simulation,218,63,MIT,False,2014-09-29,2026-09-12,computational-chemistry
coleygroup/molpal,coleygroup,molpal,https://github.com/coleygroup/molpal,active learning for accelerated high-throughput virtual screening,,Jupyter Notebook,active-learning; chemistry; virtual-screening,213,45,MIT,False,2020-08-11,2024-06-15,virtual-screening
duartegroup/autodE,duartegroup,autodE,https://github.com/duartegroup/autodE,automated reaction profile generation,https://duartegroup.github.io/autodE/,Python,computational-chemistry; open-science,211,74,MIT,False,2019-07-09,2026-03-10,computational-chemistry
MolSSI/QCEngine,MolSSI,QCEngine,https://github.com/MolSSI/QCEngine,Quantum chemistry program executor and IO standardizer (QCSchema).,https://molssi.github.io/QCEngine/,Python,chemistry; computational-chemistry; python3; quantum-chemistry; standards,211,92,BSD-3-Clause,False,2018-03-01,2026-08-18,computational-chemistry
lumol-org/lumol,lumol-org,lumol,https://github.com/lumol-org/lumol,Universal extensible molecular simulation engine,http://lumol.org/,Rust,atomistic-simulations; computational-chemistry; molecular-dynamics; molecular-simulation; monte-carlo,209,19,BSD-3-Clause,False,2015-05-25,2024-02-09,computational-chemistry; molecular-dynamics
kevingreenman/awesome-chemical-engineering-education,kevingreenman,awesome-chemical-engineering-education,https://github.com/kevingreenman/awesome-chemical-engineering-education,A curated list of online chemical engineering education resources,,,awesome; awesome-list; chemical-engineering; cheminformatics; cheminformatics-and-compchem; chemistry; education; python-chemistry,208,25,CC0-1.0,False,2023-06-10,2026-06-05,cheminformatics
matteoferla/Fragmenstein,matteoferla,Fragmenstein,https://github.com/matteoferla/Fragmenstein,"Merging, linking and placing compounds by stitching bound compounds together like a reanimated corpse",,Python,cheminformatics; drug-discovery,207,21,MIT,False,2020-04-08,2026-06-28,cheminformatics; drug-discovery
paduagroup/fftool,paduagroup,fftool,https://github.com/paduagroup/fftool,Tool to build force field input files for molecular simulation,,Python,force-field; lammps; molecular-dynamics; packmol,207,63,MIT,False,2013-12-06,2026-04-01,molecular-dynamics
chemfiles/chemfiles,chemfiles,chemfiles,https://github.com/chemfiles/chemfiles,Library for reading and writing chemistry files,http://chemfiles.org,C++,cheminformatics; chemistry; compchem; computational-chemistry; files; hacktoberfest; library,204,58,BSD-3-Clause,False,2015-02-12,2026-06-19,cheminformatics; computational-chemistry
choderalab/yank,choderalab,yank,https://github.com/choderalab/yank,"An open, extensible Python framework for GPU-accelerated alchemical free energy calculations.",http://getyank.org,Python,alchemical; alchemical-free-energy-calculations; drug-discovery; free-energy; free-energy-perturbation; molecular-dynamics; molecular-dynamics-simulation; mskcc,203,74,MIT,False,2013-10-22,2023-07-06,drug-discovery; molecular-dynamics
Eipgen/Neural-Network-Models-for-Chemistry,Eipgen,Neural-Network-Models-for-Chemistry,https://github.com/Eipgen/Neural-Network-Models-for-Chemistry,A collection of Neural Network Models for chemistry,,,charge; chemistry; computational-chemistry; deep-learning; dft; machine-learning-density-functional-theory; machine-learning-molecular-force-field; models,203,23,MIT,False,2022-05-23,2026-04-09,computational-chemistry
choderalab/perses,choderalab,perses,https://github.com/choderalab/perses,Experiments with expanded ensembles to explore chemical space,http://perses.readthedocs.io,Python,expanded-ensembles; free-energy-perturbation; molecular-design; molecular-dynamics; openmm; python; relative-free-energy; simulation,203,51,MIT,False,2014-11-24,2025-10-28,molecular-dynamics
UCLCheminformatics/ScaffoldGraph,UCLCheminformatics,ScaffoldGraph,https://github.com/UCLCheminformatics/ScaffoldGraph,"ScaffoldGraph is an open-source cheminformatics library, built using RDKit and NetworkX, for the generation and analysis of scaffold networks and scaffold trees.",https://doi.org/10.1093/bioinformatics/btaa219,Python,cheminformatics; chemistry; computational-chemistry; fragments; hiers; molecules; murcko; networkx,202,40,MIT,False,2019-12-10,2022-01-27,cheminformatics; computational-chemistry
MolSSI/QCElemental,MolSSI,QCElemental,https://github.com/MolSSI/QCElemental,"Periodic table, physical constants, and molecule parsing for quantum chemistry.",https://molssi.github.io/QCElemental/,Python,chemistry; codata; computational-chemistry; nist; periodic-table; physical-constant; python; quantum-chemistry,201,79,BSD-3-Clause,False,2018-08-31,2026-08-29,computational-chemistry
Hello-QM/catgo-LRG,Hello-QM,catgo-LRG,https://github.com/Hello-QM/catgo-LRG,"AI-driven workbench for computational materials science — interactive 3D structure viewer, natural-language CatBot assistant, visual DAG workflow engine, HPC job submission. Tauri desktop app with SvelteKit frontend and FastAPI Python backend. Drives VASP, ORCA, CP2K, QE, GPAW, DFTB+, SIESTA, LAMMPS.",,TypeScript,ase; catalysis; computational-chemistry; cp2k; dft; hpc; llm-agent; materials-science,198,23,AGPL-3.0,False,2026-04-29,2026-09-02,computational-chemistry
mosaic-group/openfpm,mosaic-group,openfpm,https://github.com/mosaic-group/openfpm,OpenFPM: A scalable open framework for particle and particle-mesh codes on parallel computers,https://openfpm.mpi-cbg.de/,C++,heterogeneous-parallel-programming; high-performance-computing; molecular-dynamics; simulation; smoothed-particle-hydrodynamics,195,34,BSD-3-Clause,False,2024-02-22,2026-04-13,molecular-dynamics
zjunlp/MolGen,zjunlp,MolGen,https://github.com/zjunlp/MolGen,[ICLR 2024] Domain-Agnostic Molecular Generation with Chemical Feedback,https://huggingface.co/spaces/zjunlp/MolGen,Python,generation; huggingface; iclr2024; language-model; molecular-generation; molecular-optimization; molecule; molgen,195,19,MIT,False,2023-01-04,2024-12-17,molecular-generation
pcko1/Deep-Drug-Coder,pcko1,Deep-Drug-Coder,https://github.com/pcko1/Deep-Drug-Coder,"A tensorflow.keras generative neural network for de novo drug design, first-authored in Nature Machine Intelligence while working at AstraZeneca.",https://www.nature.com/articles/s42256-020-0174-5,Python,autoencoders; denovo-design; drug-discovery; lstm-neural-networks; molecules; neural-network; smiles-strings,192,57,MIT,False,2019-05-29,2025-12-05,drug-discovery
Becksteinlab/GromacsWrapper,Becksteinlab,GromacsWrapper,https://github.com/Becksteinlab/GromacsWrapper,GromacsWrapper wraps system calls to GROMACS tools into thin Python classes (GROMACS 4.6.5 - 2024 supported).,https://gromacswrapper.readthedocs.org,Python,gromacs; gromacswrapper; molecular-dynamics; python; science,192,54,GPL-3.0,False,2010-04-06,2026-05-20,molecular-dynamics
Amber-MD/pytraj,Amber-MD,pytraj,https://github.com/Amber-MD/pytraj,Python interface of cpptraj,https://amber-md.github.io/pytraj,Jupyter Notebook,ambermd; ambertools; interactive-analysis; molecular-dynamics; trajectory-analysis; visualization,191,40,,False,2015-02-02,2026-03-06,molecular-dynamics
msmbuilder/vde,msmbuilder,vde,https://github.com/msmbuilder/vde,Variational Autoencoder for Dimensionality Reduction of Time-Series,,Jupyter Notebook,computational-biology; computational-chemistry; deep-learning; molecular-dynamics; python; pytorch; time-series; variational-autoencoder,189,42,MIT,False,2017-11-24,2022-05-01,computational-chemistry; molecular-dynamics
markovmodel/deeptime,markovmodel,deeptime,https://github.com/markovmodel/deeptime,Deep learning meets molecular dynamics.,,Jupyter Notebook,autoencoder; computational-biology; computational-chemistry; data-analysis; deep-learning; dimension-reduction; machine-learning; markov-model,189,41,LGPL-3.0,False,2017-11-20,2019-05-03,computational-chemistry
mcs07/MolVS,mcs07,MolVS,https://github.com/mcs07/MolVS,Molecule Validation and Standardization,https://molvs.readthedocs.io/,Python,cheminformatics; chemistry; python; rdkit; standardization; validation,188,59,MIT,False,2014-06-30,2020-04-16,cheminformatics
torchmd/mdgrad,torchmd,mdgrad,https://github.com/torchmd/mdgrad,Pytorch differentiable molecular dynamics,,Python,chemistry; differentiable-simulations; force-field-optimization; graph-neural-networks; molecular-dynamics; physics-simulation; polymer; quantum-dynamics,188,15,MIT,False,2020-08-15,2022-09-05,molecular-dynamics
CDDLeiden/DrugEx,CDDLeiden,DrugEx,https://github.com/CDDLeiden/DrugEx,De Novo Drug Design with RNNs and Transformers,https://cddleiden.github.io/DrugEx/docs/,Jupyter Notebook,cheminformatics; de-novo-drug-design; deep-learning; drug-discovery; reinforcement-learning,185,32,MIT,False,2022-04-04,2026-02-19,cheminformatics; de-novo-drug-design; drug-discovery
hachmannlab/chemml,hachmannlab,chemml,https://github.com/hachmannlab/chemml,ChemML is a machine learning and informatics program suite for the chemical and materials sciences.,https://hachmannlab.github.io/chemml,Python,data-science; deep-learning; drug-discovery; machine-learning; materials-informatics; quantum-mechanics,180,33,BSD-3-Clause,False,2017-12-07,2026-09-11,drug-discovery
MolecularAI/ReinventCommunity,MolecularAI,ReinventCommunity,https://github.com/MolecularAI/ReinventCommunity,,,Jupyter Notebook,astrazeneca; cheminformatics; denovo-design; jupyter-notebook; neural-networks; reinforcement-learning; transfer-learning,180,58,MIT,True,2020-04-06,2022-04-22,cheminformatics
HFooladi/GNNs-For-Chemists,HFooladi,GNNs-For-Chemists,https://github.com/HFooladi/GNNs-For-Chemists,Implementations of different GNNs from scratch for chemists,,Jupyter Notebook,cheminformatics; computational-chemistry; gnn; graph-neural-network; message-passing,180,31,MIT,False,2024-06-07,2026-09-02,cheminformatics; computational-chemistry
LPDI-EPFL/masif-neosurf,LPDI-EPFL,masif-neosurf,https://github.com/LPDI-EPFL/masif-neosurf,MaSIF-neosurf: surface-based protein design for ternary complexes.,,Python,drug-design; geometric-deep-learning; molecular-surface; protein-design,179,35,Apache-2.0,False,2024-02-16,2026-06-25,drug-design
BioTender-max/awesome-bio-agent-skills,BioTender-max,awesome-bio-agent-skills,https://github.com/BioTender-max/awesome-bio-agent-skills,"A curated collection of AI agent skills for biomedical research, covering genomics, proteomics, single-cell analysis, clinical AI, and protein design.",https://biotender-max.github.io/awesome-bio-agent-skills/,Python,agent-skills; ai-agent; ai-agents; awesome; awesome-list; bioinformatics; biomedical; claude,178,32,NOASSERTION,False,2026-05-25,2026-07-01,drug-discovery
chembl/FPSim2,chembl,FPSim2,https://github.com/chembl/FPSim2,Simple package for fast molecular similarity searches,https://chembl.github.io/FPSim2,Python,cheminformatics; chemistry; gpu; python; similarity-search,178,24,MIT,False,2018-10-25,2026-07-16,cheminformatics
zadorlab/sella,zadorlab,sella,https://github.com/zadorlab/sella,A Python software package for saddle point optimization and minimization of atomic systems.,https://www.ecc-project.org/,Python,chemistry; computational-chemistry; geometry-optimization; python; saddle-point; workflows,178,39,NOASSERTION,False,2019-04-09,2026-09-02,computational-chemistry
proteneer/timemachine,proteneer,timemachine,https://github.com/proteneer/timemachine,Differentiate all the things!,,Python,forcefield-parameterization; free-energy-calculations; molecular-dynamics,178,19,NOASSERTION,False,2018-12-26,2026-01-09,molecular-dynamics
oxpig/AntiFold,oxpig,AntiFold,https://github.com/oxpig/AntiFold,Improved antibody structure-based design using inverse folding,https://opig.stats.ox.ac.uk/webapps/antifold/,Python,antibody; antibody-design,176,32,BSD-3-Clause,False,2024-04-29,2025-12-09,antibody-design
Global-Chem/global-chem,Global-Chem,global-chem,https://github.com/Global-Chem/global-chem,A Knowledge Graph of Common Chemical Names to their Molecular Definition,https://globalchemistry.org/,Jupyter Notebook,cheminformatics; chemoinformatics; graph-algorithms; iupac; organic-chemistry; python; scientific-visualization; smiles,174,22,MPL-2.0,False,2020-04-26,2025-01-24,cheminformatics
Autodesk/molecular-design-toolkit,Autodesk,molecular-design-toolkit,https://github.com/Autodesk/molecular-design-toolkit,Notebook-integrated tools for molecular simulation and visualization,http://moldesign.bionano.autodesk.com,Python,chemistry; docker; jupyter; molecular-dynamics; notebook; python; quantum-chemistry; simulation,174,37,Apache-2.0,False,2016-07-14,2018-04-02,molecular-dynamics
futianfan/clinical-trial-outcome-prediction,futianfan,clinical-trial-outcome-prediction,https://github.com/futianfan/clinical-trial-outcome-prediction,"benchmark dataset and Deep learning method (Hierarchical Interaction Network, HINT) for clinical trial approval probability prediction, published in Cell Patterns 2022.",https://www.sciencedirect.com/science/article/pii/S2666389922000186,Python,benchmark; benchmark-datasets; clinical-data; clinical-research; clinical-research-data-warehouse; clinical-trials; dataset; dataset-generation,171,46,,False,2021-02-18,2025-06-24,drug-design
OpenBioSim/biosimspace,OpenBioSim,biosimspace,https://github.com/OpenBioSim/biosimspace,An interoperable Python framework for biomolecular simulation.,https://biosimspace.openbiosim.org,Python,biomolecular-simulation; computational-biology; computational-chemistry; computational-physics; drug-discovery; free-energy-calculations; interoperability; molecular-dynamics,170,22,GPL-3.0,False,2023-01-26,2026-09-07,computational-chemistry; drug-discovery; molecular-dynamics
theochem/iodata,theochem,iodata,https://github.com/theochem/iodata,"Python library for reading, writing, and converting computational chemistry file formats and generating input files.",https://iodata.readthedocs.io/,Python,computational-biology; computational-chemistry; computational-physics; data-parsing; file-conversion; file-converter; file-format-converter; file-format-library,170,56,LGPL-3.0,False,2017-08-13,2026-09-08,computational-chemistry; molecular-dynamics
ale94mleon/BindFlow,ale94mleon,BindFlow,https://github.com/ale94mleon/BindFlow,A snakemake-based workflow for FEP and MM(PB/GB)SA calculations with GROMACS,https://bindflow.readthedocs.io,Python,abfe; drug-design; drug-discovery; fep; high-throughput; mmpbsa,168,18,GPL-3.0,False,2023-05-09,2026-05-09,drug-design; drug-discovery
BenevolentAI/DeeplyTough,BenevolentAI,DeeplyTough,https://github.com/BenevolentAI/DeeplyTough,DeeplyTough: Learning Structural Comparison of Protein Binding Sites,,Python,3d-models; deep-learning; drug-discovery; metric-learning; protein-structure,168,39,NOASSERTION,False,2019-04-03,2023-04-07,drug-discovery
kochgroup/intro_pharma_ai,kochgroup,intro_pharma_ai,https://github.com/kochgroup/intro_pharma_ai,A collection of Jupyter Notebooks that are designed to teach life science students about deep learning.,https://doi.org/10.1002/ardp.202200628,Jupyter Notebook,ai; cheminformatics; deep-learning; instructions; machine-learning,168,37,NOASSERTION,False,2021-08-24,2025-09-09,cheminformatics
MolSSI/QCFractal,MolSSI,QCFractal,https://github.com/MolSSI/QCFractal,A distributed compute and database platform for quantum chemistry.,https://molssi.github.io/QCFractal/,Python,computational-chemistry; database-platform; distributed-computing; python; quantum-chemistry,168,56,BSD-3-Clause,False,2017-01-19,2026-09-03,computational-chemistry
pemsley/coot,pemsley,coot,https://github.com/pemsley/coot,Software for macromolecular model-building,http://www2.mrc-lmb.cam.ac.uk/personal/pemsley/coot/,C++,cryo-em; cryoem; crystallography; molecular-biology; molecular-docking; molecular-modeling; molecular-visualization,168,62,GPL-3.0,False,2015-08-24,2026-09-12,molecular-docking; molecular-modeling
stefanch/sGDML,stefanch,sGDML,https://github.com/stefanch/sGDML,sGDML - Reference implementation of the Symmetric Gradient Domain Machine Learning model,http:/www.sgdml.org,Python,gaussian-process; machine-learning; molecular-dynamics; molecular-force-fields; quantum-chemistry,168,42,MIT,False,2018-07-11,2025-06-13,molecular-dynamics
msmbuilder/msmbuilder,msmbuilder,msmbuilder,https://github.com/msmbuilder/msmbuilder,:building_construction: Statistical models for biomolecular dynamics :building_construction:,http://msmbuilder.org,Python,analysis; clustering; dimensionality-reduction; feature-extraction; hmm; markov-model; molecular-dynamics; msmbuilder,168,94,LGPL-2.1,True,2013-10-11,2021-01-26,molecular-dynamics
virtualramblas/awesome-deep-learning-4-life-sciences,virtualramblas,awesome-deep-learning-4-life-sciences,https://github.com/virtualramblas/awesome-deep-learning-4-life-sciences,A collection of resources for Deep Learning in Python for Life Sciences (with focus on biotech and pharma).,,,biotech; cheminformatics; deeplearning; drug-discovery; drug-repurposing; molecules; pharmaceuticals; proteins,167,30,Apache-2.0,False,2022-06-24,2025-09-23,cheminformatics; drug-discovery; drug-repurposing
LPDI-EPFL/DrugFlow,LPDI-EPFL,DrugFlow,https://github.com/LPDI-EPFL/DrugFlow,Multi-domain Distribution Learning for De Novo Drug Design,https://openreview.net/forum?id=g3VCIM94ke,Python,drug-design; equivariance; generative-model; protein-flexibility,166,28,MIT,False,2025-01-29,2026-01-26,drug-design
sirius-ms/sirius,sirius-ms,sirius,https://github.com/sirius-ms/sirius,SIRIUS is a software for discovering a landscape of de-novo identification of metabolites using tandem mass spectrometry. This repository contains the code of the SIRIUS Software (GUI and CLI),,Java,bioinformatics; cheminformatics; csi-fingerid; denovo; fingerid; fragmentation-trees; isotope-pattern; java,166,38,AGPL-3.0,False,2017-06-16,2026-08-25,cheminformatics
FermiQC/Fermi.jl,FermiQC,Fermi.jl,https://github.com/FermiQC/Fermi.jl,Fermi quantum chemistry program,,Julia,chemistry; coupled-cluster; hartree-fock; julia; molecular-modeling; mp2; physics; quantum-chemistry,166,28,MIT,False,2020-06-23,2026-07-31,molecular-modeling
MobleyLab/drug-computing,MobleyLab,drug-computing,https://github.com/MobleyLab/drug-computing,"Educational materials for, and related to, UC Irvine's Drug Discovery Computing Techniques course (PharmSci 175/275), currently taught by David Mobley.",,Jupyter Notebook,docking; drug-discovery; educational-software; ligand-screening; molecular-dynamics; molecular-dynamics-simulation; monte-carlo; python,165,44,CC-BY-4.0,False,2017-10-21,2025-03-11,drug-discovery; molecular-dynamics
pckroon/pysmiles,pckroon,pysmiles,https://github.com/pckroon/pysmiles,A lightweight python-only library for reading and writing SMILES strings,,Python,cheminformatics; hacktoberfest; python; smiles; smiles-strings; writing-smiles,164,25,Apache-2.0,False,2018-04-05,2026-07-06,cheminformatics
TinkerTools/tinker,TinkerTools,tinker,https://github.com/TinkerTools/tinker,Tinker: Software Tools for Molecular Design,https://dasher.wustl.edu/tinker/,Fortran,biomolecular-simulation; force-fields; molecular-dynamics; molecular-mechanics; molecular-modeling,164,81,NOASSERTION,False,2013-06-23,2026-09-13,molecular-dynamics; molecular-modeling
chao1224/ChatDrug,chao1224,ChatDrug,https://github.com/chao1224/ChatDrug,"LLM for Drug Editing, ICLR 2024",https://chao1224.github.io/ChatDrug,Python,chatgpt; chatgpt3; conversation; domain-feedback; drug; drug-discovery; drug-editing; editing,163,10,,False,2023-05-18,2024-05-28,drug-discovery
dralgroup/mlatom,dralgroup,mlatom,https://github.com/dralgroup/mlatom,AI-enhanced computational chemistry,http://mlatom.com,Python,artificial-intelligence; computational-chemistry; deep-learning; kernel-method; kernel-ridge-regression; machine-learning; machine-learning-potential; neural-network,162,24,Apache-2.0,False,2023-08-16,2026-09-12,computational-chemistry
lifanchen-simm/transformerCPI,lifanchen-simm,transformerCPI,https://github.com/lifanchen-simm/transformerCPI,TransformerCPI: Improving compound–protein interaction prediction by sequence-based deep learning with self-attention mechanism and label reversal experiments(BIOINFORMATICS 2020)  https://doi.org/10.1093/bioinformatics/btaa524,,Python,compound-protein-interaction; drug-discovery; drug-target-identification; self-attention; structure-free-virtual-sreening; transformercpi,160,38,Apache-2.0,False,2020-03-06,2022-06-30,drug-discovery
GenSI-THUAIR/MolCRAFT,GenSI-THUAIR,MolCRAFT,https://github.com/GenSI-THUAIR/MolCRAFT,Official repository for MolCRAFT series,,Jupyter Notebook,3d-molecules-models; bayesian-flow-networks; drug-design; drug-discovery; molecule-generation,159,13,NOASSERTION,False,2024-04-15,2025-10-27,drug-design; drug-discovery
orest-d/p4vasp,orest-d,p4vasp,https://github.com/orest-d/p4vasp,"p4vasp, the VASP Visualization Tool",http://www.p4vasp.at,C++,density-functional-theory; molecular-dynamics; physics; quantum-mechanics; vasp; visualization,159,74,GPL-2.0,False,2017-11-05,2022-05-21,molecular-dynamics
theislab/chemCPA,theislab,chemCPA,https://github.com/theislab/chemCPA,"Code for ""Predicting Cellular Responses to Novel Drug Perturbations at a Single-Cell Resolution"", NeurIPS 2022.",https://arxiv.org/abs/2204.13545,Jupyter Notebook,disentanglement; drug-discovery; genomics; perturbation; single-cell; transfer-learning,158,34,MIT,False,2021-07-06,2025-02-06,drug-discovery
inoue0426/awesome-computational-biology,inoue0426,awesome-computational-biology,https://github.com/inoue0426/awesome-computational-biology,Awesome list of computational biology.,,Python,awesome; awesome-list; computational-biology; drug-discovery; drug-repurposing; machine-learning,157,20,CC0-1.0,False,2022-02-15,2026-09-14,drug-discovery; drug-repurposing
Shen-Lab/DeepAffinity,Shen-Lab,DeepAffinity,https://github.com/Shen-Lab/DeepAffinity,Protein-compound affinity prediction through unified RNN-CNN,,Python,attention-mechanism; drug-discovery; interpretable-deep-learning; protein; semi-supervised-learning,156,31,GPL-3.0,False,2018-05-22,2024-07-19,drug-discovery
mcsorkun/ChemPlot,mcsorkun,ChemPlot,https://github.com/mcsorkun/ChemPlot,A python package for chemical space visualization.,https://chemplot.readthedocs.io/en/latest/,Jupyter Notebook,chemical-space; cheminformatics; data-visualization; dimensionality-reduction,155,35,BSD-3-Clause,False,2021-01-25,2026-08-20,cheminformatics
dptech-corp/Uni-3DAR,dptech-corp,Uni-3DAR,https://github.com/dptech-corp/Uni-3DAR,"Implementation of paper ""Uni-3DAR: Unified 3D Generation and Understanding via Autoregression on Compressed Spatial Tokens""",https://uni-3dar.github.io,Python,3d-models; generative-ai; machine-learning; molecular-docking,155,18,MIT,False,2025-03-21,2025-04-21,molecular-docking
zaixizhang/Awesome-SBDD,zaixizhang,Awesome-SBDD,https://github.com/zaixizhang/Awesome-SBDD,Papers about Structure-based Drug Design (SBDD),,,drug-discovery; generative-model; geometric-deep-learning; protein-structure; survey,153,14,,False,2023-05-31,2025-09-01,drug-discovery
drorlab/pensa,drorlab,pensa,https://github.com/drorlab/pensa,PENSA - a collection of python methods for exploratory analysis and comparison of biomolecular conformational ensembles.,,Python,biomolecules; biophysics; molecular-dynamics; structural-biology,153,25,MIT,False,2020-05-22,2025-02-12,molecular-dynamics
sustainable-processes/summit,sustainable-processes,summit,https://github.com/sustainable-processes/summit,Optimising chemical reactions using machine learning,https://gosummit.readthedocs.io/en/latest/,Jupyter Notebook,bayesian-optimization; chemistry; drug-discovery; machine-learning; nelder-mead; neural-networks; optimization; self-optimization,151,31,MIT,False,2019-07-31,2024-09-03,drug-discovery
marrink-lab/vermouth-martinize,marrink-lab,vermouth-martinize,https://github.com/marrink-lab/vermouth-martinize,Describe and apply transformation on molecular structures and topologies,,Python,hacktoberfest; molecular-dynamics,150,61,Apache-2.0,False,2017-08-21,2026-09-09,molecular-dynamics
David-OConnor/molchanica,David-OConnor,molchanica,https://github.com/David-OConnor/molchanica,"Protein and molecule viewer, editor, simulator",https://www.athanorlab.com/molchanica,Rust,bioinformatics; biology; chemistry; molecular-dynamics,150,4,MIT,False,2025-01-28,2026-09-10,molecular-dynamics
yboulaamane/awesome-drug-discovery,yboulaamane,awesome-drug-discovery,https://github.com/yboulaamane/awesome-drug-discovery,A meticulously curated resource list focused on computational methods for drug discovery.,,,awesome; awesome-list; drug-discovery; molecular-modeling,149,43,CC0-1.0,False,2024-01-16,2026-09-11,drug-discovery; molecular-modeling
ATOMScience-org/AMPL,ATOMScience-org,AMPL,https://github.com/ATOMScience-org/AMPL,"The ATOM Modeling PipeLine (AMPL) is an open-source, modular, extensible software pipeline for building and sharing models to advance in silico drug discovery.",,Jupyter Notebook,cheminformatics; chemistry; chemistry-discovery; machine-learning; math-physics; nci-doe-collaboration-capability; neural-network; python,149,73,MIT,False,2019-11-07,2026-09-10,cheminformatics
bytedance/Protenix-Dock,bytedance,Protenix-Dock,https://github.com/bytedance/Protenix-Dock,An accurate and trainable end-to-end protein-ligand docking framework,,C++,molecular-docking; research,149,18,GPL-3.0,False,2025-02-19,2025-03-24,molecular-docking
mosdef-hub/foyer,mosdef-hub,foyer,https://github.com/mosdef-hub/foyer,A package for atom-typing as well as applying and disseminating forcefields,https://foyer.mosdef.org,Python,atom-typing; disseminating-forcefields; force-field; foyer; molecular-dynamics; molecular-simulation; python,148,80,MIT,False,2015-04-16,2026-09-07,molecular-dynamics
mqcomplab/MDANCE,mqcomplab,MDANCE,https://github.com/mqcomplab/MDANCE,MDANCE: Hyper-efficient tools to process molecular dynamics simulations.,https://mdance.readthedocs.io,Python,algorithms; clustering; machine-learning; molecular-dynamics,147,14,MIT,False,2024-02-07,2026-07-07,molecular-dynamics
blazerye/DrugAssist,blazerye,DrugAssist,https://github.com/blazerye/DrugAssist,[Briefings In Bioinformatics] DrugAssist: A Large Language Model for Molecule Optimization,https://academic.oup.com/bib/article/26/1/bbae693/7942355,Python,ai-for-science; drug-discovery; instruction-datasets; instruction-tuning; large-language-models; molecule-generation; molecule-optimization,146,13,,False,2023-12-27,2025-04-02,drug-discovery
BioinfoMachineLearning/FlowDock,BioinfoMachineLearning,FlowDock,https://github.com/BioinfoMachineLearning/FlowDock,A geometric flow matching model for generative protein-ligand docking and affinity prediction. (ISMB 2025),,Python,computational-biology; computational-chemistry; deep-learning; generative-model; machine-learning; molecular-docking; structure-prediction,146,32,MIT,False,2024-12-16,2026-09-07,computational-chemistry; molecular-docking
shenwanxiang/bidd-molmap,shenwanxiang,bidd-molmap,https://github.com/shenwanxiang/bidd-molmap,MolMapNet: An Efficient ConvNet with Knowledge-based Molecular Represenations for Molecular Deep Learning,https://molmap.readthedocs.io/en/latest/,Jupyter Notebook,deep-learning; descriptors; drug-discovery; fingerprint; molecular-represenation; molmapnet; pharmacophorefp,145,35,NOASSERTION,False,2019-10-10,2026-04-08,drug-discovery
lammpstutorials/lammpstutorials.github.io,lammpstutorials,lammpstutorials.github.io,https://github.com/lammpstutorials/lammpstutorials.github.io,LAMMPS tutorials for both beginners and advanced users,https://lammpstutorials.github.io/,Shell,beginner; carbon; charge; cnt; course; electrolyte; graphene; lammps,145,34,CC-BY-4.0,False,2021-01-20,2025-10-02,molecular-dynamics
keiserlab/e3fp,keiserlab,e3fp,https://github.com/keiserlab/e3fp,3D molecular fingerprints,,Python,3d; cheminformatics; e3fp; fingerprint; molecular; python,144,34,LGPL-3.0,False,2015-09-15,2025-02-04,cheminformatics
sandbox-quantum/Tangelo,sandbox-quantum,Tangelo,https://github.com/sandbox-quantum/Tangelo,A python package for exploring end-to-end chemistry workflows on quantum computers and simulators.,https://sandbox-quantum.github.io/Tangelo/,Python,chemistry; drug-design; drug-discovery; ft; nisq; quantum; quantum-algorithms; quantum-chemistry,143,41,NOASSERTION,True,2021-03-04,2026-08-05,drug-design; drug-discovery
grimme-lab/dxtb,grimme-lab,dxtb,https://github.com/grimme-lab/dxtb,Efficient And Fully Differentiable Extended Tight-Binding,https://dxtb.readthedocs.io,Python,automatic-differentiation; computational-chemistry; pytorch; quantum-chemistry; tight-binding,143,25,Apache-2.0,False,2022-02-04,2026-08-31,computational-chemistry
molmod/psiflow,molmod,psiflow,https://github.com/molmod/psiflow,scalable molecular simulation,https://molmod.github.io/psiflow/,Python,coupled-cluster; cp2k; dft; enhanced-sampling; free-energy-calculations; gpaw; machine-learning; molecular-dynamics,143,16,MIT,False,2022-11-18,2026-04-28,molecular-dynamics
abelcarreras/DynaPhoPy,abelcarreras,DynaPhoPy,https://github.com/abelcarreras/DynaPhoPy,Phonon anharmonicity analysis from molecular dynamics,http://abelcarreras.github.io/DynaPhoPy/,Python,anharmonicity; lammps; molecular-dynamics; phonon; phonopy; vasp,143,57,MIT,False,2014-06-06,2026-07-22,molecular-dynamics
osscar-org/quantum-mechanics,osscar-org,quantum-mechanics,https://github.com/osscar-org/quantum-mechanics,A collection of interactive notebooks to explain concepts of quantum mechanics and related topics,,Jupyter Notebook,band-theory; computational-materials-science; interactive-notebooks; jupyter; jupyter-notebooks; molecular-dynamics; quantum-mechanics; solid-state-physics,143,43,NOASSERTION,False,2020-04-27,2025-06-05,molecular-dynamics
